news,opinion,name,twittername,twitterid
1,0,"Dagens Nyheter","dagensnyheter",592490041
1,0,"Svenska Dagbladet","svd",26489325
1,0,"Göteborgs-Posten","goteborgsposten",48356270
1,0,"Aftonbladet","aftonbladet",37706685
0,1,"Aftonbladet Ledare","bladetledare",18976566
0,0,"Aftonbladet Retro","aftretro",3016904381
0,1,"Aftonbladet Kultur","aftonbladetk",574414434
0,1,"Aftonbladet Debatt","abdebatt",68667032
0,0,"Aftonbladet Spela","ab_spela",108298575
1,0,"Expressen","expressen",2097191
0,1,"Expressen Debatt","expressendebatt",105104279
0,1,"Expressen Ledare","expressenkultur",19179185
1,0,"Expressen TV","expressentv",1346562020
0,0,"Expressen Utveckling","expressenutv",122018315
0,0,"Expressen Sport","sportexpressen",112420254
0,0,"SVT","svt",507156309
1,0,"SVT Nyheter","svtnyheter",372142346
0,1,"SVT Opinion","svtopinion",19186613
0,0,"SVT Sport","svtsport",106846483
1,0,"TV4 Nyheterna","nyheterna",87793521
1,0,"SR Ekot","sr_ekot",18761673
0,0,"Ekot lördagsintervju","lordagsintervju",1664803388
