Name,Party,Twittername
Amir Adan,M,amiradan
Anders Hansson,M,
Andreas Norlén,M,andreasostgote
Anette Åkesson,M,anetteakesson
Anna Kinberg Batra,M,KinbergBatra
Ann-Charlotte Hammar Johnsson,M,ACHammar
Annicka Engblom,M,AnnickaEngblom
Anti Avsan,M,AntiAvsan
Beatrice Ask,M,
Betty Malmberg,M,BettyMalmberg
Boriana Åberg,M,
Camilla Waltersson Grönvall,M,
Carl-Oskar Bohlin,M,CarlOskar
Cecilia Magnusson,M,CeciliaMagnuss1
Cecilia Widegren,M,WidegrenCecilia
Cecilie Tenfjord-Toftby,M,ceciliett
Christian Holm Barenfeld,M,christianholm
Dag Klackenberg,M,
Edward Riedl,M,EdwardRiedl
Elisabeth Svantesson,M,ElisabethSvan
Ellen Juntti,M,EllenJuntti
Erik Andersson,M,eriktaby
Erik Bengtzboe,M,bengtzboe
Erik Ottoson,M,ErikOttoson
Eva Lohman,M,EvaLohman
Ewa Thalén Finné,M,ewathalen
Finn Bengtsson,M,finnbengtsson
Fredrik Schulte,M,fredrikschulte
Gunilla Nordgren,M,GNordgren
Göran Pettersson,M,Dinledamot
Hanif Bali,M,hanifbali
Hans Rothenberg,M,hansrothenberg
Hans Wallmark,M,
Helena Bouveng,M,helenabouveng
Ida Drougge,M,idadrougge
Isabella Hökmark,M,ihokmark
Jan Ericson,M,Ericson_ubbhult
Jan R Andersson,M,JanRAndersson
Jenny Petersson,M,jennypetersson
Jesper Skalberg Karlsson,M,JesperSkalberg
Jessica Polfjärd,M,jessicapolfjard
Jessica Rosencrantz,M,Rosencrantz_J
Jessika Roswall,M,jessikavilhelm
Johan Forssell,M,JohanForssell
Johan Hultberg,M,HultbergJohan
Jonas Jacobsson Gjörtler,M,jonasjacobsson
Jörgen Andersson,M,jrgen_andersson
Jörgen Warborn,M,jorgenwarborn
Katarina Brännström,M,brnnstrm2
Karin Enström,M,KarinEnstrm
Krister Hammarbergh,M,KHammarbergh
Lars Hjälmered,M,larshjalmered
Lars-Arne Staxäng,M,LStaxang
Lena Asplund,M,lenaasplund
Lisbeth Sundén Andersson,M,
Lotta Finstorp,M,finstorp
Lotta Olsson,M,LottaAOlsson
Margareta Berg Kjellin,M,BKjellin
Margareta Cederfelt,M,MCederfelt
Marta Obminska,M,martaobminska
Maria Abrahamsson,M,M_Abrahamsson
Mats Green,M,Mats_Green
Maria Malmer Stenergard,M,MariaStenergard
Maria Plass,M,PlassMaria
Maria Stockhaus,M,Mariastockhaus
Michael Svensson,M,MichaelSvensso4
Mikael Cederbratt,M,MCederbratt
Niklas Wykman,M,NiklasWykman
Olof Lavesson,M,oloflavesson
Patrick Reslow,M,patrickreslow
Pia Hallström,M,
Saila Quicklund,M,SailaQ
Sofia Arkelsten,M,Arkelsten
Sofia Fölster,M,SofiaFolster
Sotiris Delis,M,sotirisdelis
Sten Bergheden,M,StenBergheden
Thomas Finnborg,M,ThomasFinnborg
Tina Ghasemi,M,TinaGhasemi
Tobias Billström,M,TobiasBillstrom
Tomas Tobé,M,tomastobe
Ulf Berg,M,UlfBerg1
Ulf Kristersson,M,UlfKristersson
Ulrika Karlsson,M,Ulrika_Uppsala
Åsa Coenraads,M,AsaCoenraads
Anders Ahlgren,C,AndersAhlgren
Anders W Jonsson,C,anderswjonsson
Anders Åkesson,C,andersaakesson
Annie Lööf,C,annieloof
Annika Qarlsson,C,AQarlsson
Daniel Bäckström,C,
Emil Källström,C,emilkallstrom
Eskil Erlandsson,C,ErlandssonEskil
Fredrik Christensson,C,FredrikChs
Helena Lindahl,C,FrkLindahl
Johan Hedin,C,JohanHedin_PLC
Johanna Jönsson,C,stadslolla
Kerstin Lundgren,C,KerstinLundgren
Kristina Yngwe,C,KristinaYngwe
Ola Johansson,C,ola_johansson
Per Lodenius,C,PerLodenius
Per Åsling,C,perasling
Per Ingvar Johnsson,C,
Rickard Nordin,C,rickardnordin
Staffan Danielsson,C,staffand
Solveig Zander,C,solveigzander
Ulrika Carlsson,C,ulrikacarlsson
Allan Widman,L,
Barbro Westerholm,L,BarbroWesterho
Bengt Eliasson,L,
Birgitta Ohlsson,L,birgittaohlsson
Christer Nylander,L,CNylander
