media,politicalparty,politics,pagename,pageid,url
0,0,0,"ABF Göteborg",204628709604397,"https://www.facebook.com/abfgoteborg/"
0,0,0,"Afrosvenskarnas riksförbund",1423043744632690,"https://www.facebook.com/Afrosvenskarnas-Riksförbund-ASR-1423043744632690/"
0,0,0,"Allt om islam",317629638324311,"https://www.facebook.com/alltomislam.sida/"
0,0,0,"Cyklopen",528677750491192,"https://www.facebook.com/cyklopen/"
0,0,0,"Djurens rätt",19746853632,"https://www.facebook.com/djurensratt/"
0,0,0,"Fackliga argument inför valet 2018",873062626183109,"https://www.facebook.com/Fackliga-argument-inf%C3%B6r-valet-2018-873062626183109"
0,0,0,"Freds och skiljedomsföreningen",127063960674693,"https://www.facebook.com/svenskafreds/"
0,0,0,"Företagarnas Riksförbund",124892400864698,"https://www.facebook.com/foretagarnariks/"
0,0,0,"Galago",115702118491956,"https://www.facebook.com/Galagoforlag/"
0,0,0,"Glänta",128439233871779,"https://www.facebook.com/glanta/"
0,0,0,"Greenpeace Sverige",95735961890,"https://www.facebook.com/greenpeace.sverige/"
0,0,0,"Hemslöjden",296285327106241,"https://www.facebook.com/hemslojdens/"
0,0,0,"Isabella Löwengrip",128749193837105,"https://www.facebook.com/isabella.lowengrip/"
0,0,0,"Judiska församlingen Stockholm",105131542852545,"https://www.facebook.com/Judiska-f%C3%B6rsamlingen-i-Stockholm-105131542852545/"
0,0,0,"Kommunal",179931025357058,"https://www.facebook.com/facketkommunal/"
0,0,0,"Kontrapunkt",176219345754217,"https://www.facebook.com/KontrapunktMalmo/"
0,0,0,"Kulturhuset Jönköping",103180474992,"https://www.facebook.com/kulturhusetjkpg/"
0,0,0,"Kungahuset",133515803374007,"https://www.facebook.com/Kungahuset/"
0,0,0,"LCHF Fakta och Debatt",515119345177700,"https://www.facebook.com/LCHF.FactsandDebate/"
0,0,0,"Livsmedelsverket",117067621647704,"https://www.facebook.com/livsmedelsverket/"
0,0,0,"LO",163820136238,"https://www.facebook.com/LOSverige/"
0,0,0,"Läkare utan gränser",800360196753998,"https://www.facebook.com/groups/800360196753998/about/"
0,0,0,"Motormännens riksförbund",281307768603480,"https://www.facebook.com/motormannenriks/"
0,0,0,"Musikerförbundet",63554872384,"https://www.facebook.com/musikerforbundet/"
0,0,0,"Nätverket Linje 17",192100317482100,"https://www.facebook.com/Linje17/"
0,0,0,"Rättviseförmedlingen",361481469749,"https://www.facebook.com/rattviseformedlingen/"
0,0,0,"Scouterna",111005714391,"https://www.facebook.com/scouterna/"
0,0,0,"Skattebetalarnas förening",72832167834,"https://www.facebook.com/skattebetalarnas.forening/"
0,0,0,"Soldiers of Odin Sweden",253750258297512,"https://www.facebook.com/soosweden/"
0,0,0,"Stoppa maktmissbruket",1054122034605760,"https://www.facebook.com/groups/1054122034605760/about/"
